,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,1,43,5,3,tertiary,0,291,yes,no,unknown,9,may,150,2,-1,0,unknown,0
1,2,42,3,2,primary,0,5076,yes,no,cellular,7,apr,99,1,251,2,other,0
2,3,47,12,3,secondary,0,104,yes,yes,cellular,14,jul,77,2,-1,0,unknown,0
3,4,28,5,1,secondary,0,-994,yes,yes,cellular,18,jul,174,2,-1,0,unknown,0
4,5,42,3,2,secondary,0,2974,yes,no,unknown,21,may,187,5,-1,0,unknown,0
5,6,56,2,2,secondary,0,450,no,no,unknown,9,jun,47,1,-1,0,unknown,0
6,7,32,5,1,tertiary,0,1716,no,no,cellular,21,nov,157,4,-1,0,unknown,0
7,8,33,5,1,tertiary,0,-359,no,no,telephone,29,aug,59,2,-1,0,unknown,0
8,9,32,3,1,secondary,0,309,yes,yes,cellular,25,aug,99,3,-1,0,unknown,0
9,10,55,5,3,tertiary,0,4777,no,yes,unknown,20,jun,12,3,-1,0,unknown,0
10,11,54,3,3,secondary,0,1076,no,no,cellular,28,jan,338,1,-1,0,unknown,0
11,12,59,4,3,secondary,0,1035,yes,yes,cellular,1,apr,126,2,239,1,failure,0
12,13,48,2,3,secondary,0,473,no,yes,cellular,6,aug,198,2,-1,0,unknown,0
13,14,54,4,3,primary,0,0,yes,no,cellular,11,jul,159,2,-1,0,unknown,0
14,15,53,5,3,tertiary,0,8627,no,no,cellular,10,feb,66,1,-1,0,unknown,0
15,16,30,2,1,tertiary,0,3516,yes,no,unknown,29,may,447,4,-1,0,unknown,0
16,17,39,3,2,tertiary,0,665,yes,no,cellular,8,may,133,8,-1,0,unknown,0
17,18,39,3,3,secondary,0,564,no,no,cellular,21,aug,86,4,-1,0,unknown,0
18,19,59,4,3,secondary,0,1449,yes,yes,cellular,23,jul,437,2,-1,0,unknown,0
19,20,28,11,1,secondary,0,305,no,no,cellular,7,jul,625,1,-1,0,unknown,0
20,21,31,5,1,tertiary,0,3967,yes,no,cellular,21,nov,859,1,182,1,failure,0
21,22,28,5,3,tertiary,0,3,yes,no,unknown,7,may,122,5,-1,0,unknown,0
22,23,49,5,2,tertiary,0,169,yes,no,unknown,28,may,174,1,-1,0,unknown,0
23,24,25,6,3,secondary,0,-507,yes,yes,unknown,4,jun,404,2,-1,0,unknown,0
24,25,44,3,2,secondary,0,399,yes,no,unknown,16,may,148,9,-1,0,unknown,0
25,26,43,6,3,secondary,0,664,yes,no,unknown,12,jun,354,1,-1,0,unknown,0
26,27,38,6,3,secondary,0,748,yes,no,cellular,31,aug,98,3,-1,0,unknown,0
27,28,35,5,3,tertiary,0,787,no,no,cellular,20,nov,49,1,-1,0,unknown,0
28,29,31,12,3,tertiary,0,1144,yes,yes,cellular,17,nov,89,1,-1,0,unknown,0
29,30,40,5,1,primary,0,858,yes,no,unknown,21,may,173,1,-1,0,unknown,0
30,31,29,12,1,secondary,0,171,yes,no,unknown,11,jun,83,10,-1,0,unknown,0
31,32,41,5,3,tertiary,0,1143,yes,no,cellular,5,feb,134,1,8,2,other,0
32,33,31,12,3,secondary,0,-106,yes,no,cellular,3,feb,258,4,-1,0,unknown,0
33,34,28,6,1,secondary,0,6307,yes,no,unknown,28,may,615,1,-1,0,unknown,0
34,35,43,5,3,tertiary,0,430,no,no,cellular,17,nov,44,2,-1,0,unknown,0
35,36,47,2,2,secondary,0,164,no,no,unknown,5,may,212,1,-1,0,unknown,0
36,37,59,5,3,secondary,0,544,no,no,unknown,20,jun,67,2,-1,0,unknown,0
37,38,43,2,3,secondary,0,1450,yes,no,unknown,4,jun,227,2,-1,0,unknown,0
38,39,25,5,1,tertiary,0,1129,no,no,cellular,8,jul,452,2,-1,0,unknown,0
39,40,55,6,3,secondary,0,-157,no,no,cellular,6,feb,354,5,-1,0,unknown,0
40,41,56,7,3,unknown,0,778,no,no,unknown,20,jun,32,4,-1,0,unknown,0
41,42,57,4,3,secondary,0,0,yes,no,cellular,5,may,127,1,363,4,failure,0
42,43,48,6,3,primary,0,8,no,no,cellular,20,aug,43,2,-1,0,unknown,0
43,44,48,6,3,secondary,0,794,no,no,cellular,11,aug,135,6,-1,0,unknown,0
44,45,27,6,1,tertiary,0,1372,no,no,cellular,21,jul,230,1,-1,0,unknown,0
45,46,46,2,2,secondary,0,778,yes,no,unknown,19,may,579,1,-1,0,unknown,0
46,47,54,5,3,tertiary,0,154,no,no,unknown,9,may,155,3,-1,0,unknown,0
47,48,57,3,3,secondary,0,0,no,no,unknown,13,may,44,1,-1,0,unknown,0
48,49,50,3,3,secondary,0,4,no,no,cellular,10,jul,200,5,-1,0,unknown,0
49,50,30,6,3,secondary,0,717,yes,no,unknown,8,may,42,1,-1,0,unknown,0
50,51,33,5,1,tertiary,0,896,yes,no,cellular,19,nov,577,1,-1,0,unknown,0
51,52,53,8,3,unknown,0,7,no,no,cellular,20,nov,68,1,-1,0,unknown,0
52,53,36,5,1,tertiary,0,86,no,no,cellular,25,aug,48,4,-1,0,unknown,0
53,54,25,3,1,secondary,0,1135,yes,no,unknown,12,may,396,3,-1,0,unknown,0
54,55,31,6,3,secondary,0,1243,yes,no,unknown,21,may,32,1,-1,0,unknown,0
55,56,61,4,3,primary,0,3738,no,no,telephone,6,feb,188,1,-1,0,unknown,0
56,57,61,5,1,tertiary,0,2,no,no,cellular,20,apr,122,3,-1,0,unknown,0
57,58,48,5,3,secondary,0,2204,yes,no,cellular,12,may,45,1,-1,0,unknown,0
58,59,54,3,3,secondary,0,-939,yes,no,unknown,29,may,202,1,-1,0,unknown,0
